target_location,target_name,BOOK,TOTAL_TONS,INCENDIARY_PERCENT,TARGET_SCORE,TONNAGE_SCORE,INCENDIARY_SCORE,AREA_BOMBING_SCORE,AREA_BOMBING_SCORE_NORMALIZED,CATEGORY,raid_id,AIR FORCE,DAY,MONTH,YEAR,TIME OF ATTACK,AVG_ALTITUDE,TOTAL_AIRCRAFT,Year
BRNO,LISEN AC FACTORY,BOOK_7_AIRCRAFTPRODUCTION,1.0,0.0,0,1.2540343571056742,0.0,0.4,0.4,AIRCRAFTPRODUCTION,2498,15.0,8.0,9.0,4.0,1500.0,250.0,64.0,1944
BRNO,LISEN AC FACTORY,BOOK_7_AIRCRAFTPRODUCTION,159.1,62.85355122564425,0,9.064723234426516,7.227970819454527,4.9,5.1,AIRCRAFTPRODUCTION,2499,15.0,9.0,9.0,4.0,1515.0,250.0,266.0,1944
BRNO,MARSHALLING YARDS,BOOK_11_TRANSPORTATION__PART_1,243.25,0.0,0,9.410203019260802,0.0,2.8,2.9,TRANSPORTATION,2500,15.0,20.0,11.0,4.0,930.0,236.9,331.0,1944
BRNO AIRDROME,BRNO AIRDROME,BOOK_10_AIRFIELDS__PART_1,160.0,0.0,0,9.068887732083985,0.0,2.7,2.8,AIRFIELDS,2501,15.0,24.0,8.0,4.0,1056.0,245.0,58.0,1944
BRNO AIRDROME,BRNO AIRDROME,BOOK_10_AIRFIELDS__PART_1,72.0,0.0,0,7.98160680201284,0.0,2.4,2.5,AIRFIELDS,2502,15.0,25.0,8.0,4.0,1100.0,258.0,25.0,1944
BROD,ROAD BRIDGE,BOOK_11_TRANSPORTATION__PART_1,103.0,0.0,0,8.602637515183066,0.0,2.6,2.7,TRANSPORTATION,2503,15.0,19.0,1.0,5.0,1148.0,232.5,51.0,1945
BROD,ROAD BRIDGE,BOOK_11_TRANSPORTATION__PART_1,11.0,100.0,0,5.44039562727746,10.0,4.6,4.7,TRANSPORTATION,2504,15.0,20.0,1.0,5.0,900.0,230.0,50.0,1945
BROD,ROAD BRIDGE,BOOK_11_TRANSPORTATION__PART_1,57.0,100.0,0,7.55457227138643,10.0,5.3,5.5,TRANSPORTATION,2505,15.0,21.0,1.0,5.0,1200.0,225.0,51.0,1945
BROD,ROAD BRIDGE,BOOK_11_TRANSPORTATION__PART_1,48.0,0.0,0,7.283359361443692,0.0,2.2,2.3,TRANSPORTATION,2506,15.0,22.0,1.0,5.0,600.0,230.0,52.0,1945
BROD,ROAD BRIDGE,BOOK_11_TRANSPORTATION__PART_1,213.0,0.0,0,9.315287176817629,0.0,2.8,2.9,TRANSPORTATION,2507,15.0,23.0,1.0,5.0,600.0,225.0,3.8,1945
BROD,ROAD BRIDGE,BOOK_11_TRANSPORTATION__PART_1,64.75,0.0,0,7.772687836196425,0.0,2.3,2.4,TRANSPORTATION,2508,15.0,1.0,4.0,5.0,1157.0,240.0,53.0,1945
BROD,ROAD BRIDGE,BOOK_11_TRANSPORTATION__PART_1,100.0,0.0,0,8.52628839146278,0.0,2.6,2.7,TRANSPORTATION,2509,15.0,2.0,4.0,5.0,1800.0,225.0,53.0,1945
BROD,ROAD BRIDGE,BOOK_11_TRANSPORTATION__PART_1,100.0,0.0,0,8.52628839146278,0.0,2.6,2.7,TRANSPORTATION,2510,15.0,3.0,4.0,5.0,1800.0,230.0,53.0,1945
BROD,ROAD BRIDGE,BOOK_11_TRANSPORTATION__PART_1,100.0,0.0,0,8.52628839146278,0.0,2.6,2.7,TRANSPORTATION,2511,15.0,5.0,5.0,5.0,1600.0,225.0,53.0,1945
BRONZOLO,RR BRIDGE,BOOK_11_TRANSPORTATION__PART_2,105.0,0.0,0,8.631615478049627,0.0,2.6,2.7,TRANSPORTATION,2512,15.0,24.0,4.0,5.0,1106.0,210.0,42.0,1945
BRONZOLO,RR BRIDGE,BOOK_11_TRANSPORTATION__PART_2,94.75,0.0,0,8.435710567412807,0.0,2.5,2.6,TRANSPORTATION,2513,15.0,25.0,4.0,5.0,1131.0,240.0,42.0,1945
BROSSIERE,DOUBRAVA,BOOK_11_TRANSPORTATION__PART_4,31.0,0.0,0,6.610966510498004,0.0,2.0,2.1,TRANSPORTATION,2514,8.0,14.0,2.0,5.0,1239.0,215.0,13.0,1945
BROSSIERE,MARSHALLING YARDS,BOOK_11_TRANSPORTATION__PART_4,3.0,0.0,0,3.692174214818671,0.0,1.1,1.1,TRANSPORTATION,2515,8.0,15.0,6.0,4.0,,,1.0,1944
BRUCHSAL,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,3.0,33.33333333333333,1,3.692174214818671,5.083300538358647,6.6,6.8,INDUSTRIAL,2516,8.0,1.0,3.0,5.0,,,1.0,1945
BRUCK MY WEST,Leitha MY,BOOK_11_TRANSPORTATION__PART_1,48.0,0.0,0,7.283359361443692,0.0,2.2,2.3,TRANSPORTATION,2518,15.0,26.0,3.0,5.0,1230.0,190.0,26.0,1945
BRUHL,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_3,36.0,19.444444444444446,0,6.885476314419573,4.106813802489288,3.3,3.4,TRANSPORTATION,2527,8.0,28,6.0,4.0,1313.0,270.0,13.0,1944
BRUHL,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_3,245.15,16.316540893330615,0,9.415929203539823,3.8887801583379895,4.0,4.1,TRANSPORTATION,2528,8.0,28,12.0,4.0,1315.0,266.85714285714283,86.0,1944
BRUHL,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,3.0,33.33333333333333,1,3.692174214818671,5.083300538358647,6.6,6.8,INDUSTRIAL,2529,8.0,14.0,10.0,4.0,,,1.0,1944
BRUNICO,MY,BOOK_11_TRANSPORTATION__PART_2,29.0,0.0,0,6.449245184799583,0.0,1.9,2.0,TRANSPORTATION,2537,15.0,28.0,2.0,5.0,1436.0,210.0,12.0,1945
BRUNICO,MY,BOOK_11_TRANSPORTATION__PART_2,28.5,0.0,0,6.42616692694777,0.0,1.9,2.0,TRANSPORTATION,2538,15.0,1.0,5.0,5.0,900.0,210.0,12.0,1945
BRUNSBUTTEL KOOG PORT AREA,Naval Dockyard,BOOK_17_NAVAL,4.3,0.0,0,4.427555092833594,0.0,1.3,1.3,NAVAL,2540,8.0,1.0,5.0,1.0,,300.0,660.0,1941
BRUNSBUTTEL KOOG PORT AREA,Naval Dockyard,BOOK_17_NAVAL,16.0,0.0,0,5.778240499739718,0.0,1.7,1.8,NAVAL,2541,8.0,1.0,5.0,4.0,,300.0,220.0,1944
BRUNSBUTTEL KOOG PORT AREA,Naval Dockyard,BOOK_17_NAVAL,16.0,0.0,0,5.778240499739718,0.0,1.7,1.8,NAVAL,2542,8.0,2.0,5.0,4.0,600.0,300.0,220.0,1944
BRUNSBUTTEL KOOG PORT AREA,Naval Dockyard,BOOK_17_NAVAL,3.0,0.0,0,3.692174214818671,0.0,1.1,1.1,NAVAL,2543,8.0,6.0,5.0,4.0,600.0,300.0,220.0,1944
BRUNSBUTTEL KOOG PORT AREA,Naval Dockyard,BOOK_17_NAVAL,35.0,0.0,0,6.818670831164324,0.0,2.0,2.1,NAVAL,2544,8.0,10.0,6.0,4.0,1200.0,300.0,222.0,1944
BRUNSBUTTEL KOOG PORT AREA,Naval Dockyard,BOOK_17_NAVAL,37.5,0.0,0,6.965989935797328,0.0,2.1,2.2,NAVAL,2545,8.0,11.0,6.0,4.0,1300.0,300.0,446.0,1944
BRUNSBUTTEL KOOG PORT AREA,Naval Dockyard,BOOK_17_NAVAL,3.0,0.0,0,3.692174214818671,0.0,1.1,1.1,NAVAL,2546,8.0,6.0,6.0,4.0,800.0,300.0,221.0,1944
BRUNSBUTTEL KOOG PORT AREA,Naval Dockyard,BOOK_17_NAVAL,84.0,0.0,0,8.276418532014576,0.0,2.5,2.6,NAVAL,2547,8.0,7.0,6.0,4.0,900.0,300.0,230.0,1944
BRUNSBUTTEL KOOG PORT AREA,Naval Dockyard,BOOK_17_NAVAL,45.0,0.0,0,7.215339233038348,0.0,2.2,2.3,NAVAL,2548,8.0,8.0,6.0,4.0,1000.0,300.0,225.0,1944
BRUNSBUTTEL KOOG PORT AREA,Naval Dockyard,BOOK_17_NAVAL,34.75,0.0,0,6.800798195384349,0.0,2.0,2.1,NAVAL,2549,8.0,9.0,6.0,4.0,1100.0,300.0,221.0,1944
BRUNSWICK,A C COMPONENTS FACTORY,BOOK_7_AIRCRAFTPRODUCTION,63.0,0.0,0,7.734339753600556,0.0,2.3,2.4,AIRCRAFTPRODUCTION,2561,8.0,20.0,2.0,4.0,1321.0,170.0,25.0,1944
BRUNSWICK,A C COMPONENTS FACTORY,BOOK_7_AIRCRAFTPRODUCTION,68.0,0.0,0,7.863265660246399,0.0,2.4,2.5,AIRCRAFTPRODUCTION,2562,8.0,21.0,2.0,4.0,1335.0,125.0,28.0,1944
BRUNSWICK,BUSSING NA G,BOOK_7_AIRCRAFTPRODUCTION,12.0,0.0,0,5.527676557348603,0.0,1.7,1.8,AIRCRAFTPRODUCTION,2563,8.0,1.0,1.0,4.0,900.0,199.5,38.0,1944
BRUNSWICK,C FACTORY,BOOK_7_AIRCRAFTPRODUCTION,23.0,0.0,0,6.121464515009544,0.0,1.8,1.9,AIRCRAFTPRODUCTION,2564,8.0,1.0,2.0,4.0,1157.0,242.0,11.0,1944
BRUNSWICK,C FACTORY,BOOK_7_AIRCRAFTPRODUCTION,32.0,28.125,0,6.656255422522992,4.711900605872856,3.4,3.5,AIRCRAFTPRODUCTION,2565,8.0,10.0,2.0,4.0,930.0,220.0,11.0,1944
BRUNSWICK,C FACTORY,BOOK_7_AIRCRAFTPRODUCTION,39.0,82.05128205128204,0,7.033663022731217,8.143776780609356,4.6,4.7,AIRCRAFTPRODUCTION,2566,8.0,11.0,2.0,4.0,1123.0,222.0,18.0,1944
BRUNSWICK,C FACTORY,BOOK_7_AIRCRAFTPRODUCTION,50.0,57.99999999999999,0,7.340968245705362,6.994214888306013,4.3,4.4,AIRCRAFTPRODUCTION,2567,8.0,12.0,2.0,4.0,1123.0,218.0,11.0,1944
BRUNSWICK,C FACTORY,BOOK_7_AIRCRAFTPRODUCTION,42.0,100.0,0,7.1403782752038865,10.0,5.1,5.3,AIRCRAFTPRODUCTION,2568,8.0,28.0,2.0,4.0,1112.0,215.0,20.0,1944
BRUNSWICK,C FACTORY,BOOK_7_AIRCRAFTPRODUCTION,150.0,15.333333333333332,0,9.010237723407949,3.8202446924068303,3.8,3.9,AIRCRAFTPRODUCTION,2569,8.0,3.0,2.0,4.0,900.0,219.8,394.0,1944
BRUNSWICK,C FACTORY,BOOK_7_AIRCRAFTPRODUCTION,32.0,100.0,0,6.656255422522992,10.0,5.0,5.2,AIRCRAFTPRODUCTION,2570,8.0,4.0,2.0,4.0,1430.0,220.0,96.0,1944
BRUNSWICK,FACTORY,BOOK_7_AIRCRAFTPRODUCTION,113.0,53.09734513274337,0,8.73815720978657,6.614408663764933,4.6,4.7,AIRCRAFTPRODUCTION,2571,8.0,11.0,1.0,4.0,1159.0,210.5,75.0,1944
BRUNSWICK,FACTORY,BOOK_7_AIRCRAFTPRODUCTION,847.446,40.26215239673088,0,9.917751171264966,5.6200726914573735,4.7,4.8,AIRCRAFTPRODUCTION,2572,8.0,30.0,1.0,4.0,1158.0,242.38888888888889,1017.0,1944
BRUNSWICK,FACTORY,BOOK_7_AIRCRAFTPRODUCTION,165.9,0.0,0,9.102203713343744,0.0,2.7,2.8,AIRCRAFTPRODUCTION,2573,8.0,20.0,2.0,4.0,1200.0,207.8571428571429,183.0,1944
BRUNSWICK,FACTORY,BOOK_7_AIRCRAFTPRODUCTION,519.5,0.0,0,9.78969286829776,0.0,2.9,3.0,AIRCRAFTPRODUCTION,2574,8.0,21.0,2.0,4.0,1400.0,230.0,195.0,1944
BRUNSWICK,FACTORY,BOOK_7_AIRCRAFTPRODUCTION,1.0,0.0,0,1.2540343571056742,0.0,0.4,0.4,AIRCRAFTPRODUCTION,2575,8.0,30.0,2.0,4.0,1318.0,170.0,1.0,1944
BRUNSWICK,FACTORY,BOOK_7_AIRCRAFTPRODUCTION,573.0,92.32111692844676,0,9.8247440569148,8.633687597986949,5.5,5.7,AIRCRAFTPRODUCTION,2576,8.0,15.0,3.0,4.0,1324.0,229.5,789.0,1944
BRUNSWICK,FACTORY,BOOK_7_AIRCRAFTPRODUCTION,47.0,70.2127659574468,0,7.262016310949159,7.579033806117656,4.5,4.6,AIRCRAFTPRODUCTION,2577,8.0,21.0,3.0,4.0,1108.0,200.0,24.0,1944
BRUNSWICK,NEUPETRITOR A C COMP,BOOK_7_AIRCRAFTPRODUCTION,2.0,0.0,0,2.6979003990976924,0.0,0.8,0.8,AIRCRAFTPRODUCTION,2580,8.0,1,8.0,4.0,1200.0,220.0,2.0,1944
BRUNSWICK,NEUPETRITOR A C COMP,BOOK_7_AIRCRAFTPRODUCTION,89.65,77.52370329057445,0,8.361617213256984,7.927793774267967,4.9,5.1,AIRCRAFTPRODUCTION,2581,8.0,5,8.0,4.0,1318.0,220.0,31.0,1944
BRUNSWICK,NEUPETRITOR A C COMP,BOOK_7_AIRCRAFTPRODUCTION,92.0,76.08695652173914,0,8.401700503210133,7.859255400252839,4.9,5.1,AIRCRAFTPRODUCTION,2582,8.0,7,8.0,4.0,1430.0,220.0,33.0,1944
BRUNSWICK,QUEREUM AERO ENGINES,BOOK_7_AIRCRAFTPRODUCTION,0.84,28.57142857142857,0,0.7641853201457574,4.743019355761154,1.7,1.8,AIRCRAFTPRODUCTION,2583,8.0,24.0,2.0,1.0,600.0,220.0,1.0,1941
BRUNSWICK,QUEREUM AERO ENGINES,BOOK_7_AIRCRAFTPRODUCTION,372.1,29.26632625638269,0,9.640812077043208,4.791457893614693,4.3,4.4,AIRCRAFTPRODUCTION,2584,8.0,24.0,8.0,4.0,1118.0,220.57142857142856,98.0,1944
BRUNSWICK,QUEREUM AERO ENGINES,BOOK_7_AIRCRAFTPRODUCTION,315.75,15.993665874901028,0,9.562727745965642,3.866273832384125,4.0,4.1,AIRCRAFTPRODUCTION,2585,8.0,5.0,8.0,4.0,600.0,221.75,188.0,1944
BRUNSWICK,WILHELMITOR AC COMP,BOOK_7_AIRCRAFTPRODUCTION,279.0,75.26881720430107,0,9.494881138296028,7.820226992636855,5.2,5.4,AIRCRAFTPRODUCTION,2588,8.0,5.0,8.0,4.0,1318.0,231.0,345.0,1944
BRUNSWICK,WILKS WERK OIL,BOOK_2_OILREFINERIES,203.0,51.72413793103448,0,9.277633177164672,6.508026987527233,4.7,4.8,OILREFINERIES,2589,8.0,3,3.0,5.0,1020.0,245.0,170.0,1945
BRUSSELS,EVERE AIRDROME,BOOK_10_AIRFIELDS__PART_1,74.0,0.0,0,8.036265833767136,0.0,2.4,2.5,AIRFIELDS,2629,8.0,1,9.0,3.0,849.0,249.5,24.0,1943
BRUSSELS,EVERE AIRDROME,BOOK_10_AIRFIELDS__PART_1,0.5,0.0,0,0.3597084851639771,0.0,0.1,0.1,AIRFIELDS,2630,8.0,27,9.0,3.0,1905.0,171.0,21.0,1943
BRUSSELS,EVERE AIRDROME,BOOK_10_AIRFIELDS__PART_1,36.0,0.0,0,6.885476314419573,0.0,2.1,2.2,AIRFIELDS,2631,8.0,29,9.0,3.0,853.0,265.0,12.0,1943
BRUSSELS,EVERE AIRDROME,BOOK_10_AIRFIELDS__PART_1,33.0,0.0,0,6.722019781363873,0.0,2.0,2.1,AIRFIELDS,2632,8.0,7,9.0,3.0,852.0,265.0,12.0,1943
BRUSSELS,EVERE AIRDROME,BOOK_10_AIRFIELDS__PART_1,53.0,0.0,0,7.442304355370467,0.0,2.2,2.3,AIRFIELDS,2633,8.0,8,9.0,3.0,850.0,229.0,19.0,1943
BRUSSELS,EVERE AIRDROME,BOOK_10_AIRFIELDS__PART_1,46.0,0.0,0,7.242234947076176,0.0,2.2,2.3,AIRFIELDS,2634,8.0,9,9.0,3.0,839.0,237.5,35.0,1943
BRUSSELS,EVERE AIRDROME,BOOK_10_AIRFIELDS__PART_1,258.0,33.33333333333333,0,9.453583203192782,5.083300538358647,4.4,4.5,AIRFIELDS,2635,8.0,10,4.0,4.0,920.0,219.0,122.0,1944
BRUSSELS,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,175.0,0.0,0,9.152004164497658,0.0,2.7,2.8,TRANSPORTATION,2653,8.0,01,5.0,4.0,1430.0,186.83333333333337,59.0,1944
BRUSSELS,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,39.0,0.0,0,7.033663022731217,0.0,2.1,2.2,TRANSPORTATION,2654,8.0,1,5.0,4.0,1729.0,178.0,11.0,1944
BRUSSELS,MELSBROEK A D,BOOK_10_AIRFIELDS__PART_1,96.0,0.0,0,8.456706576435884,0.0,2.5,2.6,AIRFIELDS,2656,8.0,10.0,4.0,4.0,928.0,213.33333333333337,52.0,1944
BRUSSELS,MELSBROEK A D,BOOK_10_AIRFIELDS__PART_1,61.0,0.0,0,7.683671698768003,0.0,2.3,2.4,AIRFIELDS,2657,8.0,14.0,5.0,4.0,752.0,250.0,36.0,1944
BRUSSELS,MELSBROEK A D,BOOK_10_AIRFIELDS__PART_1,48.0,0.0,0,7.283359361443692,0.0,2.2,2.3,AIRFIELDS,2658,8.0,25.0,5.0,4.0,925.0,227.66666666666663,34.0,1944
BRUSSELS,MELSBROEK A D,BOOK_10_AIRFIELDS__PART_1,81.0,0.0,0,8.209439528023598,0.0,2.5,2.6,AIRFIELDS,2659,8.0,14.0,6.0,4.0,800.0,252.5,36.0,1944
BRUSSELS,SHAERBEEK M Y,BOOK_11_TRANSPORTATION__PART_1,109.0,0.0,0,8.69148013187576,0.0,2.6,2.7,TRANSPORTATION,2660,8.0,10.0,5.0,4.0,1818.0,173.5,42.0,1944
BRUSSELS,SHAERBEEK M Y,BOOK_11_TRANSPORTATION__PART_1,143.0,0.0,0,8.961998958875586,0.0,2.7,2.8,TRANSPORTATION,2661,8.0,11.0,5.0,4.0,1817.0,193.33333333333337,51.0,1944
BRUSSELS,SHAERBEEK M Y,BOOK_11_TRANSPORTATION__PART_1,124.0,0.0,0,8.831164324136735,0.0,2.6,2.7,TRANSPORTATION,2662,8.0,25.0,5.0,4.0,923.0,221.16666666666663,80.0,1944
BRUSSELS,SHAERBEEK M Y,BOOK_11_TRANSPORTATION__PART_1,115.0,0.0,0,8.755162241887906,0.0,2.6,2.7,TRANSPORTATION,2663,8.0,27.0,5.0,4.0,1040.0,209.0,39.0,1944
BRUSSELS,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_1,2.0,0.0,1,2.6979003990976924,0.0,4.8,4.9,INDUSTRIAL,2664,8.0,12.0,6.0,4.0,,,1.0,1944
BRUSSELS,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_1,9.0,0.0,1,5.230956099253861,0.0,5.6,5.8,INDUSTRIAL,2665,8.0,14.0,7.0,4.0,,,6.0,1944
BRUSSELS,VILVORDE FCTY,BOOK_7_AIRCRAFTPRODUCTION,132.0,15.151515151515152,0,8.889987853548499,3.8075708742705054,3.8,3.9,AIRCRAFTPRODUCTION,2666,8.0,10.0,4.0,4.0,1400.0,204.0,117.0,1944
BRUSSELS,VILVORDE SIG DEPOT,BOOK_11_TRANSPORTATION__PART_1,91.0,15.384615384615383,0,8.389380530973451,3.823819359060666,3.7,3.8,TRANSPORTATION,2667,8.0,27.0,7.0,4.0,827.0,219.33333333333337,34.0,1944
BRUSSELS,VILVORDE SIG DEPOT,BOOK_11_TRANSPORTATION__PART_1,68.0,0.0,0,7.863265660246399,0.0,2.4,2.5,TRANSPORTATION,2668,8.0,3.0,8.0,4.0,900.0,224.6,50.0,1944
BRUSSELS,VILVORDE SIG DEPOT,BOOK_11_TRANSPORTATION__PART_1,60.375,0.0,0,7.669963560645497,0.0,2.3,2.4,TRANSPORTATION,2669,8.0,4.0,8.0,4.0,1930.0,226.0,25.0,1944
BRUSSELS,VILVORDE SIG DEPOT,BOOK_11_TRANSPORTATION__PART_1,2.0,0.0,0,2.6979003990976924,0.0,0.8,0.8,TRANSPORTATION,2670,8.0,5.0,8.0,4.0,1930.0,225.0,12.0,1944
BRUSSELS,VILVORDE SIG DEPOT,BOOK_11_TRANSPORTATION__PART_1,31.0,9.67741935483871,0,6.610966510498004,3.4259935540370674,3.0,3.1,TRANSPORTATION,2671,8.0,6.0,8.0,4.0,1800.0,221.5,22.0,1944
BRUX,BRUX MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,3.0,0.0,0,3.692174214818671,0.0,1.1,1.1,TRANSPORTATION,2672,8.0,12.0,9.0,4.0,,,1.0,1944
BRUX,BRUX UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_1,18.0,0.0,1,5.8754121117473534,0.0,5.8,6.0,INDUSTRIAL,2673,8.0,24.0,8.0,4.0,1248.0,279.0,7.0,1944
BRUX,BRUX UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_1,40.0,40.0,1,7.079125455491932,5.5997638761822595,7.8,8.0,INDUSTRIAL,2674,8.0,14.0,2.0,5.0,1223.0,272.0,16.0,1945
BRUX,BRUX UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_1,259.0,27.413127413127413,1,9.4561860142287,4.662278815510435,8.2,8.5,INDUSTRIAL,2675,8.0,25.0,2.0,5.0,1124.0,272.1666666666667,189.0,1945
BRUX,CE FRAGMENTATION BONDO,BOOK_6_INDUSTRIAL__PART_1,139.0,0.0,1,8.938226618080861,0.0,6.7,6.9,INDUSTRIAL,2676,8.0,12.0,5.0,4.0,1200.0,227.1428571428571,152.0,1944
BRUX,CE FRAGMENTATION BONDO,BOOK_6_INDUSTRIAL__PART_1,12.0,0.0,1,5.527676557348603,0.0,5.7,5.9,INDUSTRIAL,2677,8.0,13.0,5.0,4.0,1406.0,229.0,28.0,1944
BRUX,CE FRAGMENTATION BONDO,BOOK_6_INDUSTRIAL__PART_1,3.0,0.0,1,3.692174214818671,0.0,5.1,5.3,INDUSTRIAL,2678,8.0,7.0,5.0,4.0,1413.0,213.0,1.0,1944
BRUX,CE FRAGMENTATION BONDO,BOOK_6_INDUSTRIAL__PART_1,3.0,0.0,1,3.692174214818671,0.0,5.1,5.3,INDUSTRIAL,2679,8.0,8.0,5.0,4.0,1400.0,220.0,1.0,1944
BRUX,CE FRAGMENTATION BONDO,BOOK_6_INDUSTRIAL__PART_1,38.0,0.0,1,6.986812424084679,0.0,6.1,6.3,INDUSTRIAL,2680,8.0,9.0,5.0,4.0,1400.0,239.0,19.0,1944
BRUX,CE FRAGMENTATION BONDO,BOOK_6_INDUSTRIAL__PART_1,34.8,0.0,1,6.8023598820058995,0.0,6.0,6.2,INDUSTRIAL,2681,8.0,11.0,9.0,4.0,1210.0,235.5,2.0,1944
BRUX,CE FRAGMENTATION BONDO,BOOK_6_INDUSTRIAL__PART_1,164.0,0.0,1,9.091618948464342,0.0,6.7,6.9,INDUSTRIAL,2682,8.0,12.0,9.0,4.0,1211.0,276.1666666666667,67.0,1944
BRUX,CE FRAGMENTATION BONDO,BOOK_6_INDUSTRIAL__PART_1,55.5,0.0,1,7.516050668054833,0.0,6.3,6.5,INDUSTRIAL,2683,8.0,13.0,9.0,4.0,1216.0,280.5,89.0,1944
BRUX,DUBOVA OIL REFINERY,BOOK_2_OILREFINERIES,64.5,0.0,0,7.770779108103419,0.0,2.3,2.4,OILREFINERIES,2684,8.0,20.0,8.0,4.0,1053.0,199.0,28.0,1944
BRUX,DUBOVA OIL REFINERY,BOOK_2_OILREFINERIES,64.0,0.0,0,7.759326739545376,0.0,2.3,2.4,OILREFINERIES,2685,8.0,21.0,8.0,4.0,1050.0,182.0,27.0,1944
BRUX,DUBOVA OIL REFINERY,BOOK_2_OILREFINERIES,62.5,0.0,0,7.719764011799411,0.0,2.3,2.4,OILREFINERIES,2686,8.0,22.0,8.0,4.0,1500.0,192.0,76.0,1944
BRUX,DUBOVA OIL REFINERY,BOOK_2_OILREFINERIES,72.0,0.0,0,7.98160680201284,0.0,2.4,2.5,OILREFINERIES,2687,8.0,23.0,8.0,4.0,1700.0,190.0,76.0,1944
BRUX,DUBOVA OIL REFINERY,BOOK_2_OILREFINERIES,50.0,0.0,0,7.340968245705362,0.0,2.2,2.3,OILREFINERIES,2688,8.0,4.0,8.0,4.0,1052.0,195.0,21.0,1944
BRUX,OIL REFINERY,BOOK_2_OILREFINERIES,107.0,0.0,0,8.660940482387646,0.0,2.6,2.7,OILREFINERIES,2689,8.0,21.0,7.0,4.0,1138.0,231.33333333333337,67.0,1944
BRUX,OIL REFINERY,BOOK_2_OILREFINERIES,56.0,0.0,0,7.526982474405691,0.0,2.3,2.4,OILREFINERIES,2690,8.0,22.0,7.0,4.0,1202.0,220.0,29.0,1944
BRUX,OIL REFINERY,BOOK_2_OILREFINERIES,59.0,0.0,0,7.610098906819365,0.0,2.3,2.4,OILREFINERIES,2691,8.0,11.0,9.0,4.0,1227.0,258.0,24.0,1944
BRUX,OIL REFINERY,BOOK_2_OILREFINERIES,34.0,0.0,0,6.781190352247094,0.0,2.0,2.1,OILREFINERIES,2692,8.0,12.0,9.0,4.0,1227.0,258.0,14.0,1944
BRUX,OIL REFINERY,BOOK_2_OILREFINERIES,8.0,0.0,0,5.11677945514489,0.0,1.5,1.5,OILREFINERIES,2693,8.0,14.0,9.0,4.0,1313.0,285.0,4.0,1944
BRUX,OIL REFINERY,BOOK_2_OILREFINERIES,75.0,0.0,0,8.059864653826132,0.0,2.4,2.5,OILREFINERIES,2694,8.0,23.0,9.0,4.0,1209.0,274.0,26.0,1944
BRUX,OIL REFINERY,BOOK_2_OILREFINERIES,72.6,0.0,0,8.00589970501475,0.0,2.4,2.5,OILREFINERIES,2695,8.0,24.0,9.0,4.0,1220.0,265.0,21.0,1944
BRUX,OIL REFINERY,BOOK_2_OILREFINERIES,79.0,0.0,0,8.162762450112789,0.0,2.4,2.5,OILREFINERIES,2696,8.0,16.0,10.0,4.0,1205.0,270.0,28.0,1944
BRUX,OIL REFINERY,BOOK_2_OILREFINERIES,93.0,0.0,0,8.416970327954191,0.0,2.5,2.6,OILREFINERIES,2697,8.0,20.0,10.0,4.0,1336.0,270.0,35.0,1944
BRUX,OIL REFINERY,BOOK_2_OILREFINERIES,199.0,0.0,0,9.257157730348776,0.0,2.8,2.9,OILREFINERIES,2698,8.0,16.0,12.0,4.0,1210.0,245.4,167.0,1944
BRUX,OIL REFINERY,BOOK_2_OILREFINERIES,54.0,0.0,0,7.474058650008676,0.0,2.2,2.3,OILREFINERIES,2699,8.0,17.0,12.0,4.0,900.0,250.0,25.0,1944
BRUX,OIL REFINERY,BOOK_2_OILREFINERIES,51.0,0.0,0,7.380704494187055,0.0,2.2,2.3,OILREFINERIES,2700,8.0,25.0,12.0,4.0,1139.0,290.0,23.0,1944
BRUX,OIL REFINERY SYNTHETIC,BOOK_2_OILREFINERIES,539.88,25.4278728606357,0,9.802533402741629,4.523894662171184,4.3,4.4,OILREFINERIES,2701,15.0,21.0,7.0,4.0,1136.0,220.33333333333337,232.0,1944
BRUX,OIL REFINERY SYNTHETIC,BOOK_2_OILREFINERIES,296.0,0.0,0,9.526808953669963,0.0,2.9,3.0,OILREFINERIES,2702,8.0,24.0,8.0,4.0,1247.0,267.46153846153845,132.0,1944
BRUX,OIL REFINERY SYNTHETIC,BOOK_2_OILREFINERIES,235.0,0.0,0,9.386604199201804,0.0,2.8,2.9,OILREFINERIES,2703,15.0,23.0,9.0,4.0,1210.0,254.0,79.0,1944
